name,type,count,mean,min,max,stddev,variance
agg_tok_total,count,300,217685.587074,215718.181818,219900.000000,465.061883,216282.554871
agg_tok_prompt,count,300,131900.000000,131900.000000,131900.000000,0.000000,0.000000
agg_tok_completion,count,300,85785.587074,83818.181818,88000.000000,465.061883,216282.554871
agg_da_load,count,300,42.892794,41.909091,44.000000,0.232531,0.054071
agg_lessons_archived,count,300,39.129957,38.750000,39.300000,0.048949,0.002396
