name,type,count,mean,min,max,stddev,variance
agg_out_archived,count,200,0.956020,0.750000,1.000000,0.032325,0.001045
agg_out_blocked,count,200,0.043980,0.000000,0.250000,0.032325,0.001045
agg_out_aborted,count,200,0.000000,0.000000,0.000000,0.000000,0.000000
agg_da_load,count,200,1.039999,1.000000,1.066225,0.022913,0.000525
agg_da_iters_gate,count,200,1.039999,1.000000,1.066225,0.022913,0.000525
