combo_id,param.static_formats,param.full_history,param.inline_style,seed,level,run_idx,stat.agg_tok_total.count,stat.agg_tok_total.mean,stat.agg_tok_total.min,stat.agg_tok_total.max,stat.agg_tok_total.stddev,stat.agg_tok_total.variance,stat.agg_tok_prompt.count,stat.agg_tok_prompt.mean,stat.agg_tok_prompt.min,stat.agg_tok_prompt.max,stat.agg_tok_prompt.stddev,stat.agg_tok_prompt.variance,stat.agg_tok_completion.count,stat.agg_tok_completion.mean,stat.agg_tok_completion.min,stat.agg_tok_completion.max,stat.agg_tok_completion.stddev,stat.agg_tok_completion.variance,stat.agg_da_load.count,stat.agg_da_load.mean,stat.agg_da_load.min,stat.agg_da_load.max,stat.agg_da_load.stddev,stat.agg_da_load.variance,stat.agg_lessons_archived.count,stat.agg_lessons_archived.mean,stat.agg_lessons_archived.min,stat.agg_lessons_archived.max,stat.agg_lessons_archived.stddev,stat.agg_lessons_archived.variance,assert.Gate:0,place.Gate.P_gen,place.Gate.P_proceed,place.Gate.P_revise_sink,place.Gate.P_blocked,status
0,0,0,0,,summary,,300,52919.150649,51400.000000,53068.789809,200.134831,40053.950537,300,31400.000000,31400.000000,31400.000000,0.000000,0.000000,300,21519.150649,20000.000000,21668.789809,200.134831,40053.950537,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
1,0,0,1,,summary,,300,69058.513636,66400.000000,69320.382166,350.235954,122665.223521,300,31400.000000,31400.000000,31400.000000,0.000000,0.000000,300,37658.513636,35000.000000,37920.382166,350.235954,122665.223521,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
2,0,1,0,,summary,,300,57269.150649,55750.000000,57418.789809,200.134831,40053.950537,300,35750.000000,35750.000000,35750.000000,0.000000,0.000000,300,21519.150649,20000.000000,21668.789809,200.134831,40053.950537,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
3,0,1,1,,summary,,300,73408.513636,70750.000000,73670.382166,350.235954,122665.223521,300,35750.000000,35750.000000,35750.000000,0.000000,0.000000,300,37658.513636,35000.000000,37920.382166,350.235954,122665.223521,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
4,1,0,0,,summary,,300,64919.150649,63400.000000,65068.789809,200.134831,40053.950537,300,43400.000000,43400.000000,43400.000000,0.000000,0.000000,300,21519.150649,20000.000000,21668.789809,200.134831,40053.950537,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
5,1,0,1,,summary,,300,81058.513636,78400.000000,81320.382166,350.235954,122665.223521,300,43400.000000,43400.000000,43400.000000,0.000000,0.000000,300,37658.513636,35000.000000,37920.382166,350.235954,122665.223521,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
6,1,1,0,,summary,,300,69269.150649,67750.000000,69418.789809,200.134831,40053.950537,300,47750.000000,47750.000000,47750.000000,0.000000,0.000000,300,21519.150649,20000.000000,21668.789809,200.134831,40053.950537,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
7,1,1,1,,summary,,300,85408.513636,82750.000000,85670.382166,350.235954,122665.223521,300,47750.000000,47750.000000,47750.000000,0.000000,0.000000,300,37658.513636,35000.000000,37920.382166,350.235954,122665.223521,300,10.759575,10.000000,10.834395,0.100067,0.010013,300,9.758054,9.692308,10.000000,0.031099,0.000967,pass,0,0,1,0,ok
